name,main_category_id,sub_category_id,sub_subcategory_id,pre_category_id,pre_precategory_id
レディース,1,,,,
メンズ,2,,,,
ベビー・キッズ,3,,,,
インテリア・住まい・小物,4,,,,
本・音楽・ゲーム,5,,,,
おもちゃ・ホビー・グッズ,6,,,,
コスメ・香水・美容,7,,,,
家電・スマホ・カメラ,8,,,,
スポーツ・レジャー,9,,,,
ハンドメイド,10,,,,
チケット,11,,,,
自動車・オートバイ,12,,,,
その他,13,,,,
トップス,1,1,,1,
ジャケット/アウター,1,2,,1,
パンツ,1,3,,1,
スカート,1,4,,1,
ワンピース,1,5,,1,
靴,1,6,,1,
ルームウェア/パジャマ,1,7,,1,
レッグウェア,1,8,,1,
帽子,1,9,,1,
バッグ,1,10,,1,
アクセサリー,1,11,,1,
ヘアアクセサリー,1,12,,1,
小物,1,13,,1,
時計,1,14,,1,
ウィッグ/エクステ,1,15,,1,
浴衣/水着,1,16,,1,
スーツ/フォーマル/ドレス,1,17,,1,
マタニティ,1,18,,1,
その他,1,19,,1,
Tシャツ/カットソー(半袖/袖なし),1,1,1,,14
Tシャツ/カットソー(七分/長袖),1,1,2,,14
シャツ/ブラウス(半袖/袖なし),1,1,3,,14
シャツ/ブラウス(七分/長袖),1,1,4,,14
ポロシャツ,1,1,5,,14
キャミソール,1,1,6,,14
タンクトップ,1,1,7,,14
ホルターネック,1,1,8,,14
ニット/セーター,1,1,9,,14
チュニック,1,1,10,,14
カーディガン/ボレロ,1,1,11,,14
アンサンブル,1,1,12,,14
ベスト/ジレ,1,1,13,,14
パーカー,1,1,14,,14
トレーナー/スウェット,1,1,15,,14
ベアトップ/チューブトップ,1,1,16,,14
ジャージ,1,1,17,,14
その他,1,1,18,,14
テーラードジャケット,1,2,1,,15
ノーカラージャケット,1,2,2,,15
Gジャン/デニムジャケット,1,2,3,,15
レザージャケット,1,2,4,,15
ダウンジャケット,1,2,5,,15
ライダースジャケット,1,2,6,,15
ミリタリージャケット,1,2,7,,15
ダウンベスト,1,2,8,,15
ジャンパー/ブルゾン,1,2,9,,15
ポンチョ,1,2,10,,15
ロングコート,1,2,11,,15
トレンチコート,1,2,12,,15
ダッフルコート,1,2,13,,15
ピーコート,1,2,14,,15
チェスターコート,1,2,15,,15
モッズコート,1,2,16,,15
スタジャン,1,2,17,,15
毛皮/ファーコート,1,2,18,,15
スプリングコート,1,2,19,,15
スカジャン,1,2,20,,15
その他,1,2,21,,15
デニム/ジーンズ,1,3,1,,16
ショートパンツ,1,3,2,,16
カジュアルパンツ,1,3,3,,16
ハーフパンツ,1,3,4,,16
チノパン,1,3,5,,16
ワークパンツ/カーゴパンツ,1,3,6,,16
クロップドパンツ,1,3,7,,16
サロペット/オーバーオール,1,3,8,,16
オールインワン,1,3,9,,16
サルエルパンツ,1,3,10,,16
ガウチョパンツ,1,3,11,,16
その他,1,3,12,,16
ミニスカート,1,4,1,,17
ひざ丈スカート,1,4,2,,17
ロングスカート,1,4,3,,17
キュロット,1,4,4,,17
その他,1,4,5,,17
ミニワンピース,1,4,6,,17
ひざ丈ワンピース,1,4,7,,17
ロングワンピース,1,4,8,,17
その他,1,4,9,,17
ハイヒール/パンプス,1,5,1,,19
ブーツ,1,5,2,,19
サンダル,1,5,3,,19
スニーカー,1,5,4,,19
ミュール,1,5,5,,19
モカシン,1,5,6,,19
ローファー/革靴,1,5,7,,19
フラットシューズ/バレエシューズ,1,5,8,,19
長靴/レインシューズ,1,5,9,,19
その他,1,5,10,,19
パジャマ,1,6,1,,21
ルームウェア,1,6,2,,21
ソックス,1,7,1,,21
スパッツ/レギンス,1,7,2,,21
ストッキング/タイツ,1,7,3,,21
レッグウォーマー,1,7,4,,21
その他,1,7,5,,21
ニットキャップ/ビーニー,1,8,1,,22
ハット,1,8,2,,22
ハンチング/ベレー帽,1,8,3,,22
キャップ,1,8,4,,22
キャスケット,1,8,5,,22
麦わら帽子,1,8,6,,22
その他,1,8,7,,22
ハンドバッグ,1,9,1,,23
トートバッグ,1,9,2,,23
エコバッグ,1,9,3,,23
リュック/バックパック,1,9,4,,23
ボストンバッグ,1,9,5,,23
スポーツバッグ,1,9,6,,23
ショルダーバッグ,1,9,7,,23
クラッチバッグ,1,9,8,,23
ポーチ/バニティ,1,9,9,,23
ボディバッグ/ウェストバッグ,1,9,10,,23
マザーズバッグ,1,9,11,,23
メッセンジャーバッグ,1,9,12,,23
ビジネスバッグ,1,9,13,,23
旅行用バッグ/キャリーバッグ,1,9,14,,23
ショップ袋,1,9,15,,23
和装用バッグ,1,9,16,,23
かごバッグ,1,9,17,,23
その他,1,9,18,,23
ネックレス,1,10,1,,24
ブレスレット,1,10,2,,24
バングル/リストバンド,1,10,3,,24
リング,1,10,4,,24
ピアス(片耳用),1,10,5,,24
ピアス(両耳用),1,10,6,,24
イヤリング,1,10,7,,24
アンクレット,1,10,8,,24
ブローチ/コサージュ,1,10,9,,24
チャーム,1,10,10,,24
その他,1,10,11,,24
ヘアゴム/シュシュ,1,11,1,,25
ヘアバンド/カチューシャ,1,11,2,,25
ヘアピン,1,11,3,,25
その他,1,11,4,,25
長財布,1,12,1,,26
折り財布,1,12,2,,26
コインケース/小銭入れ,1,12,3,,26
名刺入れ/定期入れ,1,12,4,,26
キーケース,1,12,5,,26
キーホルダー,1,12,6,,26
手袋/アームカバー,1,12,7,,26
ハンカチ,1,12,8,,26
ベルト,1,12,9,,26
マフラー/ショール,1,12,10,,26
ストール/スヌード,1,12,11,,26
バンダナ/スカーフ,1,12,12,,26
ネックウォーマー,1,12,13,,26
